Longitude,Latitude,OBJECTID,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL,PHAS_DESIGNATION,HA_LOW_RENT_SIZE_CATEGORY,SECTION8_UNITS_CNT,HA_SECTION_8_SIZE_CATEGORY,HA_COMBINED_SIZE_CATEGORY,HA_FYE,HA_PROGRAM_TYPE,TOTAL_UNITS,TOTAL_DWELLING_UNITS,ACC_UNITS,PH_OCCUPIED,SECTION8_OCCUPIED,TOTAL_OCCUPIED,PCT_OCCUPIED,REGULAR_VACANT,PHA_TOTAL_UNITS,NUMBER_REPORTED,PCT_REPORTED,OPFUND_AMNT,OPFUND_AMNT_PREV_YR,CAPFUND_AMNT,CAPFUND_AMNT_PREV_YR,ROSS_AMNT,FSS_AMNT,SPENDING_PER_MONTH,SPENDING_PER_MONTH_PREV_YR,CHLDRN_MBR_CNT,ELDLY_PRCNT,PCT_DISABLED_LT62_ALL,PCT_LT80_MEDIAN,MEDIAN_INC_AMNT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX
-159.368974,21.975235,3483,HI005,Kauai County Housing Agency,8082414440,8082415119,bmoritsugu@kauai.gov,8082414434,8082415119,bmoritsugu@kauai.gov,,,1145,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Section 8,0,0,0,0,621,621,54.22999954,0,1145,665,100,0,0,0,0,0,0,969,943,467,21.70999908,12.51000023,98.94999695,14964,15,Kauai,7,40500,2,2024
-157.863703,21.309696,3212,HI003,City and County of Honolulu,8087687096,8087687039,jlee2@honolulu.gov,8087687062,8087687095,gkaito@honolulu.gov,,,4968,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Section 8,0,0,0,0,3433,3433,69.66000366,0,4928,3624,100,0,0,0,0,0,0,1314,1324,4351,12.07999992,9.68999958,99.5,14838,15,Honolulu,3,4000,2,2003
-157.863239,21.327653,3213,HI001,Hawaii Public Housing Authority,8088324694,8088324679,hpha@hawaii.gov,8088324694,8088324679,hakim.ouansafi@hawaii.gov,Troubled Performer,"EXTRA LARGE (5,000+)",0,VERY SMALL (0-49),"EXTRA LARGE (5,000+)",30-Jun,Low-Rent,5332,5331,5124,4730,0,4730,92.33000183,231,5123,4725,99.90000153,21028516,24040866,9198304,9184654,0,0,533,579,5297,16.34000015,9.06000042,99.75,13191,15,Honolulu,3,4800,2,2000
-157.863239,21.327653,3232,HI901,Hawaii Public Housing Authority,8088324694,8088324679,hpha@hawaii.gov,8088324694,8088324679,hakim.ouansafi@hawaii.gov,,,3785,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Section 8,0,0,0,0,2290,2290,60.5,0,3785,2272,99.22000122,0,0,0,0,0,0,1261,1142,2619,11.60999966,11.06999969,99.59999847,15186,15,Honolulu,3,4800,2,2000
-156.493833,20.889784,3211,HI004,County of  Maui,8082707751,8082707829,section8@co.maui.hi.us,8082707354,,Gail.Rumbaoa@co.maui.hi.us,,,1464,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Section 8,0,0,0,0,1411,1411,96.37999725,0,1464,1427,100,0,0,0,0,0,0,1258,1206,1555,10.19999981,12.72000027,98.94999695,14078,15,Maui,9,31000,3,3001
-155.088956,19.726895,3482,HI002,County of Hawaii,8089594642,8089599308,ohcdeh@co.hawaii.hi.us,8089618379,,ohcdeh@hawaiicounty.gov,,,2005,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Section 8,0,0,0,0,1949,1949,97.20999908,0,2005,2088,100,0,0,0,0,0,0,930,995,2578,9.57999992,14.02999973,99.23000336,12486,15,Hawaii,1,20300,2,2015
-149.778791,61.182086,3151,AK901,Alaska Housing Finance Corporation,9073388432,9073381683,cstone@ahfc.us,9073308432,9073381683,cstone@ahfc.us,,,4713,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Section 8,0,0,0,0,5002,5002,100,0,4713,4865,97.26000214,0,0,0,0,0,0,651,677,4070,13.14000034,17.26000023,93.52999878,16072,2,Anchorage,20,1602,3,3011
-149.778791,61.182086,3152,AK001,Alaska Housing Finance Corporation,9073308432,9073381683,cstone@ahfc.us,9073308432,,cstone@ahfc.us,High Performer,"LARGE (1,000-4,999)",0,VERY SMALL (0-49),"LARGE (1,000-4,999)",30-Jun,Low-Rent,1248,1242,1245,1184,0,1184,95.33000183,50,1242,1182,99.83000183,7430172,8679281,2030737,2030247,0,0,666,739,1566,10.77000046,8.60000038,85.87000275,18779,2,Anchorage,20,1602,3,3011
-124.228425,43.410494,3237,OR009,North Bend Housing Authority,5417512042,5417561987,mturner@ccnbchas.org,5417512042,5417561987,mturner@ccnbchas.org,High Performer,MEDIUM LOW (100-299),0,VERY SMALL (0-49),MEDIUM LOW (100-299),31-Dec,Low-Rent,108,108,108,106,0,106,98.15000153,2,108,106,100,224417,238987,161776,157180,0,0,304,309,92,25.11000061,7.05000019,99.05999756,11040,41,Coos,11,400,1,1024
-124.228425,43.410494,3255,OR020,Coos-Curry Housing Authority,5417512042,5417561987,mturner@ccnbchas.org,5417512042,5417561987,mturner@ccnbchas.org,High Performer,SMALL (50-99),835,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),31-Dec,Combined,52,52,52,50,622,672,75.76000214,2,887,733,100,157421,156433,88180,85688,0,0,570,521,302,22.48999977,28.34000015,99.31999969,9816,41,Coos,11,400,1,1024
-124.197244,41.7518,3348,CA061,CRESCENT CITY HSG AUTH,7074649216,7074642692,,7074649216,7074652692,mmiller@crescentcity.org,,,608,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),30-Jun,Section 8,0,0,0,0,572,572,94.08000183,0,608,585,100,0,0,0,0,0,0,557,521,620,9.65999985,15.22000027,97.26000214,11520,6,Del Norte,15,101,1,1077
-124.178172,40.779849,3329,CA025,City of Eureka Housing Authority,7074434583,7074432150,wweir@eureka-humboldt-hsg.org,7074434583,7074434762,wweir@eureka-humboldt-hsg.org,Standard Performer,MEDIUM LOW (100-299),0,VERY SMALL (0-49),MEDIUM LOW (100-299),31-Dec,Low-Rent,198,196,198,184,0,184,93.87999725,12,196,184,100,294050,354146,349382,355237,0,0,291,310,233,7.5999999,14.60000038,89.12999725,15633,6,Humboldt,23,300,3,3002
-124.178172,40.779849,3320,CA086,COUNTY OF HUMBOLDT HSG AUTH,7074434583,7074432150,wweir@eureka-humboldt-hsg.org,7074434583,7074434762,wweir@eureka-humboldt-hsg.org,,,1317,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",31-Dec,Section 8,0,0,0,0,918,918,69.70999908,0,1317,962,100,0,0,0,0,0,0,622,614,527,19.29000092,24.86000061,98.01999664,10990,6,Humboldt,23,300,3,3002
-124.055808,44.644132,2306,OR005,Housing Authority of Lincoln County,5412655326,5412656057,kkowtko@halc.info,5412655326,5412656057,jtroy@halc.info,High Performer,MEDIUM LOW (100-299),507,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),31-Dec,Combined,120,119,120,117,497,614,98.08000183,2,626,609,99.18000031,185074,234780,179710,188351,0,0,503,524,408,18.54999924,18.45999908,97.87000275,12432,41,Lincoln,41,950900,4,4034
-123.925054,46.164451,2107,OR028,Northwest Oregon Housing Authority,5038610119,5038610220,todd@nwoha.org,5038610119,5038610220,todd@nwoha.org,,,1202,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Section 8,0,0,0,0,1067,1067,93.33999634,0,1143,1028,96.34999847,0,0,0,0,0,0,602,584,581,17.76000023,23.75,99.41999817,11272,41,Clatsop,7,950500,3,3055
-123.814035,46.979055,3750,WA018,HA Of Grays Harbor County,3605320570,3605320775,jerry@hagh.com,3605320570,3605320775,jerry@hagh.com,High Performer,MEDIUM HIGH (300-999),223,MEDIUM LOW (100-299),MEDIUM HIGH (300-999),31-Dec,Combined,415,415,415,405,214,619,97.01999664,10,638,609,98.38999939,622341,654501,431734,446774,0,0,338,342,354,17.27000046,25.40999985,99.51000214,9540,53,Grays Harbor,27,1000,3,3035
-123.429224,48.103178,3450,WA004,Peninsula Housing Authority,3604527631,3604577001,kkassinger@peninsulapha.org,3604527631,3604577001,kkassinger@peninsulapha.org,High Performer,MEDIUM LOW (100-299),643,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),30-Jun,Combined,270,262,270,225,564,789,87.18000031,3,905,769,97.45999908,425850,464283,355471,354943,0,0,516,490,407,18.01000023,30.62000084,99.73999786,10032,53,Clallam,9,1100,2,2001
-123.373214,43.211205,3256,OR003,Housing Authority of Douglas County,5416736548,5416738230,Jkohler@hadcor.org,5416736548,5416738230,Jkohler@hadcor.org,High Performer,MEDIUM LOW (100-299),762,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),31-Mar,Combined,155,154,155,151,729,880,96.06999969,3,916,852,96.81999969,383946,429928,251359,232160,0,0,430,427,498,16.51000023,23.92000008,99.05999756,10580,41,Douglas,19,140000,5,5013
-123.320466,42.450078,3283,OR031,Josephine Housing Community Development Council,5414795529,5414766120,teresa@jhcdc.net,5414795529,5414766120,teresa@jhcdc.net,,,869,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),30-Jun,Section 8,0,0,0,0,712,712,81.94000244,0,869,788,100,0,0,0,0,0,0,667,643,609,13.48999977,18.40999985,98.59999847,10272,41,Josephine,33,360500,1,1004
-123.31591,44.92666,2305,OR008,Housing and Urban Renewal Agency of Polk County,5036238387,5036236907,wvpha@wvpha.org,5036238387,5036236907,cedelblute@wvpha.org,High Performer,MEDIUM HIGH (300-999),703,MEDIUM HIGH (300-999),"LARGE (1,000-4,999)",30-Sep,Combined,375,373,373,369,658,1027,95.44000244,4,1076,1013,98.63999939,587979,600066,463515,463402,0,0,523,513,875,15.39999962,16.07999992,99.20999908,10464,41,Polk,53,20500,3,3013
-123.210511,39.164187,3319,CA084,MENDOCINO COUNTY,7074635462,7074634188,crabtret@cdchousing.org,7074635462,7074634188,crabtret@cdchousing.org,Standard Performer,VERY SMALL (0-49),1172,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Sep,Combined,0,0,0,0,830,830,70.81999969,0,1172,809,97.47000122,31159,31159,0,0,0,0,692,695,519,18.79000092,20.82999992,99.26000214,10993,6,Mendocino,45,11500,2,2015
-123.168946,45.201979,2329,OR016,Housing Authority of Yamhill County,5038834300,5034724376,ehui@hayc.org,5038834318,5038834329,ehui@hayc.org,High Performer,VERY SMALL (0-49),1358,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Combined,0,0,0,0,1358,1358,100,0,1358,1355,99.77999878,53495,53495,0,0,0,0,714,689,1243,11.75,15.06999969,98.81999969,12493,41,Yamhill,71,30601,2,2030
-123.08974,44.624987,2304,OR019,Linn-Benton Housing Authority,5419264497,5419263589,mail@l-bha.org,5419187314,5419263589,SeniorMgmt@L-bha.org,,,2538,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",31-Dec,Section 8,0,0,0,0,2414,2414,96.44000244,0,2503,2461,100,0,0,0,0,0,0,591,589,1918,13.64000034,22.77000046,99.15000153,10884,41,Linn,43,20802,3,3003
-123.079853,44.05493,2323,OR006,Housing Authority & Comm Svcs of Lane Co,5416823755,5416823411,Jfox@hacsa.us,5416822527,5416823411,Jfox@hacsa.us,High Performer,MEDIUM HIGH (300-999),3053,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Sep,Combined,707,707,707,686,2804,3490,92.81999969,16,3760,3530,100,1504347,1681137,965595,894675,0,0,537,512,2427,13.90999985,23.02000046,99.55000305,9840,41,Lane,39,3102,4,4010
