Community Area Name,Community Area Number,Property Type,Property Name,Address,Zip Code,Phone Number,Management Company,Units,X Coordinate,Y Coordinate,Latitude,Longitude,Location
Albany Park,14,Senior,Mayfair Commons,4444 W. Lawrence Ave.,60630,773-205-7862,"Metroplex, Inc.",97,1145674.754,1931569.979,41.96822423,-87.73974749,"(41.9682242321, -87.7397474866)"
Albany Park,14,Senior,Senior Suites of Ravenswood Manor,2800 W. Montrose Ave.,60618,773-509-9333,Senior Lifestyle Corp.,80,1156898.514,1929148.461,41.96135865,-87.69854417,"(41.9613586525, -87.6985441744)"
Albany Park,14,Senior,Darul Amaan Senior Living,4814-58 N. Kedzie Ave.,60625,773-463-3004,East Lake Management & Development Corp.,56,1154133.125,1931889.16,41.96893506,-87.70863783,"(41.9689350644, -87.7086378257)"
Ashburn ,70,Senior,Wrightwood Senior Apartments,2815 W. 79th St.,60652,773-471-7777,Ludwig and Company,85,1158906.934,1852040.954,41.74972646,-87.69327334,"(41.7497264566, -87.6932733372)"
Auburn Gresham,71,Multifamily,Stone Terrace,8440 S. Parnell Ave.,60620,773-651-9234,East Lake Management & Development Corp.,56,1174067.016,1848682.074,41.74018636,-87.63781991,"(41.740186358, -87.6378199128)"
Auburn Gresham,71,Senior HUD 202,St. Sabina Elder Village Apartments,1222 W. 79th St.,60620,773-994-7850,Catholic Charities Housing Devp.,80,1169422.93,1852437.468,41.75059341,-87.65472675,"(41.7505934139, -87.6547267546)"
Auburn Gresham,71,Senior,Senior Suites of Auburn-Gresham,1050 W. 79th St.,60620,773-723-0333,Senior Lifestyle Corp.,85,1170460.901,1852465.795,41.75064862,-87.65092232,"(41.7506486193, -87.6509223206)"
Auburn Gresham,71,Senior HUD 202,Naomi & Sylvester Smith Senior Living Ctr.,8019-55 S. Halsted St.,60620,773-651-6400,"HSR Property Services, LLC",59,1172404.466,1851597.134,41.74822238,-87.6438257,"(41.7482223777, -87.6438256988)"
Auburn Gresham,71,Senior,Auburn Commons,1626 W. 87th St.,60620,773-238-0850,"Urban Property Advisors, LLC",72,1166895.24,1847057.796,41.73588515,-87.66414272,"(41.7358851523, -87.6641427166)"
Austin,25,Multifamily,Pine Central,557 N. Pine Ave.,60644,773-568-1020,NHS Redevelopment Corp.,78,1139471.896,1903210.835,41.8905194,-87.76324864,"(41.8905193977, -87.7632486365)"
Austin,25,Senior,Senior Suites of Austin,335 N. Menard Ave.,60644,773-378-0333,Senior Lifestyle Corp.,84,1137686.377,1901819.131,41.88673275,-87.76983958,"(41.8867327472, -87.7698395847)"
Austin,22,Multifamily,Madison Renaissance Apts.,1816 N. St. Louis Ave.,60647,773-227-1366,Related Management Co. LP,30,1152932.106,1911940.497,41.91421838,-87.71358429,"(41.9142183771, -87.7135842866)"
