Project ID	Project Name	Project Address	Total Units	Affordable Units	Affordable Beds	Project Sponsor	City Analysis Neighborhood	Supervisor District	Project Location	Latitude	Longitude
1969-001	Martin Luther King-Marcus Garvey Square Cooperative Apartments	"1680 Eddy St, San Francisco, CA 94115"	211	211	0	"Martin Luther King-Marcus Garvey Square Cooperative Apartments, INC."	Western Addition	5	"(37.7815971, -122.4348602)"	37.7815971	 -122.4348602
1970-001	Ridgeview Terrace Apartments	"140 Cashmere St, San Francisco, CA 94124"	101	100	0	"Ridgeview Terrace Affordable Housing, Inc."	Bayview Hunters Point	10	"(37.7367058, -122.3846893)"	37.7367058	 -122.3846893
1972-001	Sutter Apartments	"1480 Sutter St, San Francisco, CA 94109"	67	67	0	"Sutter Gough, LP"	Western Addition	2	"(37.7874298, -122.4247513)"	37.7874298	 -122.4247513
1973-001	Nihonmachi Terrace	"1615 Sutter St, San Francisco, CA 94109"	245	243	0	Japanese American Religious Federation	Japantown	5	"(37.7865524, -122.426796)"	37.7865524	 -122.426796)
1980-001	Consorcia Apartments	"1204 Mason St, San Francisco, CA 94133"	24	23	0	Chinatown Community Development Center	Chinatown	3	"(37.7947578, -122.4112015)"	37.7947578	 -122.4112015
1980-002	The Nathan Building	"340 Eddy St, San Francisco, CA 94102"	82	66	0	Indochinese Housing Development Corporation	Tenderloin	6	"(37.7841148, -122.4134521)"	37.7841148	 -122.4134521
1980-003	3434 18th	"3434 18th St, San Francisco, CA 94110"	8	5	0	Mission Housing Development Corporation	Mission	9	"(37.7619858, -122.4202652)"	37.7619858	 -122.4202652
1980-004	Lassen Apartments	"441 Ellis St, San Francisco, CA 94102"	81	80	0	"Asian, Inc. / Bayside Communities"	Tenderloin	6	"(37.7844963, -122.4134521)"	37.7844963	 -122.4134521
1980-005	Mariposa Gardens	"2445 Mariposa St, San Francisco, CA 94110"	63	62	0	Mission Housing Development Corporation	Mission	10	"(37.7627258, -122.4077835)"	37.7627258	 -122.4077835
1980-006	Clayton Hotel	"657 Clay St, San Francisco, CA 94111"	82	81	0	Chinatown Community Development Center	Chinatown	3	"(37.7943077, -122.4040375)"	37.7943077	 -122.4040375
1980-007	Tennessee Street Housing Corporation	"712 Tennessee St, San Francisco, CA 94107"	6	6	0	Tennessee Street Housing Corporation	Potrero Hill	10	"(37.7627106, -122.3900146)"	37.7627106	 -122.3900146
1980-008	Capp Street Apartments	"890 Capp St, San Francisco, CA 94110"	4	4	0	Mission Housing Development Corporation	Mission	9	"(37.7524529, -122.4175644)"	37.7524529	 -122.4175644
1980-009	Bryant Street Apartments	"2800 Bryant St, San Francisco, CA 94110"	7	7	0	Mission Housing Development Corporation	Mission	9	"(37.7493477, -122.408989)"	37.7493477	 -122.408989)
1981-001	Parkview Hotel	"102 South Park St, San Francisco, CA 94107"	40	40	0	Mission Housing Development Corporation	Financial District/South Beach	6	"(37.7817612, -122.3943405)"	37.7817612	 -122.3943405
1981-002	Madrid Hotel	"22 South Park Park, San Francisco, CA 94107"	44	44	0	Mission Housing Development Corporation	Financial District/South Beach	6	"(37.7822952, -122.3936462)"	37.7822952	 -122.3936462
1981-003	Aarti Hotel	"391 Leavenworth St, San Francisco, CA 94109"	40	40	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7844658, -122.4146042)"	37.7844658	 -122.4146042
1981-004	70 Moss	"70 Moss St, San Francisco, CA 94103"	5	3	0	Mission Housing Development Corporation	South of Market	6	"(37.7774658, -122.4079514)"	37.7774658	 -122.4079514
1982-001	Tower Hotel	"1525 Grant Ave, San Francisco, CA 94133"	33	17	0	Chinatown Community Development Center	North Beach	3	"(37.8010216, -122.4078903)"	37.8010216	 -122.4078903
1982-002	All Hallows Community	"1711 Oakdale Ave, San Francisco, CA 94124"	45	44	0	Mercy Housing California	Bayview Hunters Point	10	"(37.7356186, -122.3927078)"	37.7356186	 -122.3927078
1982-003	Woolf House III	"240 4th St, San Francisco, CA 94103"	30	29	0	TODCO Group	South of Market	6	"(37.7825546, -122.4021912)"	37.7825546	 -122.4021912
1982-004	2945 16th	"2945 16th St, San Francisco, CA 94110"	8	5	0	Mission Housing Development Corporation	Mission	9	"(37.7648964, -122.4184875)"	37.7648964	 -122.4184875
1982-005	Casa Quezada	"35 Woodward St, San Francisco, CA 94103"	52	52	0	Dolores Street Community Services	Mission	9	"(37.7693405, -122.4206924)"	37.7693405	 -122.4206924
1982-006	Dunleavy Plaza	"36 Hoff St, San Francisco, CA 94110"	49	25	0	Mission Housing Development Corporation	Mission	9	"(37.7643661, -122.4207077)"	37.7643661	 -122.4207077
1982-007	Sierra Madre	"421 Leavenworth St, San Francisco, CA 94109"	47	46	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7849922, -122.4147568)"	37.7849922	 -122.4147568
1982-008	Yosemite Apartments	"480 Eddy St, San Francisco, CA 94109"	32	20	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7838249, -122.4155045)"	37.7838249	 -122.4155045
1982-009	Swiss American Hotel	"534 Broadway, San Francisco, CA 94133"	66	34	0	Chinatown Community Development Center	North Beach	3	"(37.7982368, -122.4061584)"	37.7982368	 -122.4061584
1982-010	Bayside Village	"3 Bayside Village Pl, San Francisco, CA 94107"	862	172	0	Bayside Village Associates	Financial District/South Beach	6	"(37.7846985, -122.3899307)"	37.7846985	 -122.3899307
1983-001	Chinese Community Church of San Francisco	"1535 Jackson St, San Francisco, CA 94109"	18	10	0	Chinese Community Church of San Francisco	Russian Hill	3	"(37.7939987, -122.4203644)"	37.7939987	 -122.4203644
1984-001	Women's Hope	"2261 Bryant St, San Francisco, CA 94110"	16	10	0	Mission Housing Development Corporation / HealthRight360	Mission	9	"(37.7583008, -122.4093399)"	37.7583008	 -122.4093399
1984-002	Cadillac Hotel	"380 Eddy St, San Francisco, CA 94102"	158	158	0	Reality House West	Tenderloin	6	"(37.7840538, -122.4139404)"	37.7840538	 -122.4139404
1984-003	450 Ellis St	"450 Ellis St, San Francisco, CA 94102"	29	24	0	"Asian, Inc."	Tenderloin	6	"(37.7850113, -122.4136887)"	37.7850113	 -122.4136887
1984-004	Maria Alicia Apartments	"3090 16th St, San Francisco, CA 94103"	20	11	0	Mission Housing Development Corporation	Mission	9	"(37.7651749, -122.4215927)"	37.7651749	 -122.4215927
